|Max Apple|Mean Apple|Max Step|Mean Step|Max Fitness|Mean Fitness
Generation 848|2|0.132|19|14.668|2149.739062976162|85.68652380539575
Generation 849|3|0.126|15|14.526|5024.719635813122|91.89416353041292
Generation 850|2|0.132|19|14.642|2149.739062976162|83.36236026673373
Generation 851|2|0.158|15|14.426|2149.739062976162|105.20833935750214
Generation 852|2|0.118|17|14.638|2149.739062976162|76.42240950767236
Generation 853|2|0.148|15|14.694|2149.739062976162|91.3157307190444
Generation 854|2|0.146|15|14.694|2149.739062976162|94.92295564479387
Generation 855|2|0.156|15|14.674|2149.8377997990897|106.72117307351698
Generation 856|2|0.114|15|14.446|2149.739062976162|74.28525669614883
Generation 857|2|0.148|15|14.322|2149.739062976162|93.31616939763245
Generation 858|2|0.132|16|14.334|2149.739062976162|89.94459673586938
Generation 859|2|0.126|15|14.454|2149.739062976162|82.50454146062472
Generation 860|2|0.114|15|14.442|2149.739062976162|78.82960724449745
Generation 861|2|0.118|16|14.626|2149.739062976162|76.40771491100564
Generation 862|2|0.104|19|14.608|2149.739062976162|69.46092431116821
Generation 863|2|0.132|15|14.508|2149.739062976162|92.38583500068658
Generation 864|2|0.13|15|14.528|2149.739062976162|89.10556316242653
Generation 865|2|0.124|15|14.654|2149.739062976162|88.53053377299048
Generation 866|2|0.132|15|14.542|2149.739062976162|83.26626909125542
Generation 867|1|0.116|15|14.504|511.42505421866946|73.03549314964813
Generation 868|2|0.132|15|14.614|2149.739062976162|85.62404700033306
Generation 869|3|0.136|15|14.638|5024.719635813122|101.52687683309928
Generation 870|2|0.124|15|14.714|2149.739062976162|84.04637034022097
Generation 871|2|0.14|15|14.714|2149.739062976162|94.2822311314639
Generation 872|2|0.138|15|14.704|2149.739062976162|97.82664263820284
Generation 873|2|0.166|15|14.582|2149.739062976162|113.91199967696622
Generation 874|3|0.142|15|14.724|5024.719635813122|99.99449048868371
Generation 875|2|0.118|100|14.84|2149.986294709256|85.77143152127002
Generation 876|2|0.116|100|14.664|2149.739062976162|80.0415008469747
Generation 877|2|0.112|15|14.568|2149.739062976162|73.40072161700739
