|Max Apple|Mean Apple|Max Step|Mean Step|Max Fitness|Mean Fitness
Generation 1064|2|0.172|34|14.848|2149.964098556101|121.18853773138844
Generation 1065|2|0.142|33|15.36|2149.964098556101|97.71926440557723
Generation 1066|2|0.118|33|15.182|2149.9540739565236|85.66870617613074
Generation 1067|3|0.16|33|15.474|5010.465200741229|115.9294139750058
Generation 1068|2|0.108|33|14.91|2149.9540739565236|75.96231404674495
Generation 1069|3|0.146|33|15.382|5016.170998995946|104.34409112605945
Generation 1070|2|0.11|33|14.114|2149.475941242983|78.39471741167819
Generation 1071|2|0.142|33|15.036|2149.9540739565236|108.69414434310292
Generation 1072|2|0.15|33|14.854|2149.986294709256|117.06638685196243
Generation 1073|3|0.146|33|15.198|5016.170998995946|120.46028331047424
Generation 1074|2|0.16|33|15.514|2149.9540739565236|120.33983092505811
Generation 1075|2|0.146|33|15.406|2149.475941242983|97.38190449937187
Generation 1076|2|0.16|33|14.898|2149.9540739565236|106.08429085821058
Generation 1077|2|0.116|33|14.766|2147.6652269129927|81.9301256154699
Generation 1078|3|0.126|33|14.774|5012.820007417454|96.29021642026704
Generation 1079|2|0.162|33|15.518|2149.913226044195|114.35520680285609
Generation 1080|2|0.156|33|15.786|2149.9540739565236|111.79039511232695
Generation 1081|2|0.174|33|15.772|2149.9540739565236|118.44507896859737
Generation 1082|3|0.168|33|15.592|5015.079034242259|128.95080313509624
Generation 1083|2|0.136|33|15.51|2149.9540739565236|101.72380677545813
Generation 1084|2|0.156|33|15.764|2149.9540739565236|118.51358929127632
Generation 1085|3|0.2|33|16.0|5010.465200741229|136.1179649309697
Generation 1086|3|0.186|33|15.626|5022.147118486193|151.91520957607142
Generation 1087|3|0.166|33|15.536|5028.82964176195|135.06456704859326
Generation 1088|2|0.174|33|15.804|2149.9540739565236|120.67849124164114
Generation 1089|3|0.146|33|15.392|5010.465200741229|111.25841153386821
Generation 1090|2|0.152|33|15.886|2149.475941242983|100.75532942736336
Generation 1091|3|0.164|33|15.724|5013.96180892374|129.58661927823627
Generation 1092|3|0.182|33|15.842|5010.465200741229|140.79780460032106
Generation 1093|3|0.164|33|15.668|5012.820007417454|122.68233819628794
Generation 1094|2|0.136|33|15.658|2149.9540739565236|92.70476803287765
Generation 1095|2|0.144|33|14.984|2149.9540739565236|93.87485596028307
Generation 1096|2|0.124|33|15.672|2149.890070823094|86.75571695967275
Generation 1097|2|0.136|33|15.236|2149.9540739565236|101.47511728207975
Generation 1098|2|0.166|33|15.862|2149.964098556101|121.13533484839138
Generation 1099|2|0.136|33|15.212|2149.964098556101|99.18374649223485
Generation 1100|3|0.158|33|15.624|5018.2761625849325|115.1199746203286
Generation 1101|2|0.17|33|15.688|2149.964098556101|127.79514482325717
Generation 1102|2|0.136|33|15.548|2148.71142795583|94.90906837484206
Generation 1103|3|0.154|34|15.542|5004.18860149733|113.1375009613155
Generation 1104|2|0.158|33|15.856|2149.739062976162|124.20753796901413
Generation 1105|2|0.116|33|15.5|2149.739062976162|87.3265280750746
Generation 1106|2|0.14|33|15.382|2148.9304694062257|96.80481389979727
Generation 1107|3|0.158|33|15.824|5010.465200741229|119.83389504129468
Generation 1108|2|0.162|33|15.694|2149.913226044195|107.91631352777448
Generation 1109|2|0.14|33|15.666|2149.9540739565236|108.40716311141237
Generation 1110|3|0.12|33|15.392|5023.038198361497|96.30267855413845
Generation 1111|2|0.168|33|15.896|2149.964098556101|124.67660149095981
Generation 1112|3|0.152|33|15.488|5010.465200741229|123.52486720155947
Generation 1113|3|0.13|33|15.798|5028.82964176195|103.75313439908557
Generation 1114|3|0.138|33|15.844|5017.2369705907395|100.84341404734691
Generation 1115|3|0.142|33|15.828|5019.2877281163765|111.96308716821191
Generation 1116|2|0.142|33|15.742|2149.964098556101|107.04608213584059
Generation 1117|2|0.156|33|15.72|2149.9540739565236|120.84288589312067
