|Max Apple|Mean Apple|Max Step|Mean Step|Max Fitness|Mean Fitness
Generation 256|19|4.438|750|158.756|757271.5528257806|25697.569414117126
Generation 257|19|4.528|800|165.008|758909.8643045744|26575.520857096813
Generation 258|23|3.896|800|154.532|8734155.723596442|39511.86137926176
Generation 259|19|3.952|900|139.074|761770.4591375255|26802.160094911538
Generation 260|17|4.01|850|141.958|317161.55096439447|23883.490792337656
Generation 261|21|4.228|1000|146.544|2379869.175008138|30937.549635907675
Generation 262|20|4.278|750|142.268|1308548.1886380722|26704.41338084437
Generation 263|20|4.792|950|166.768|1305883.8964518346|35063.96672591734
Generation 264|19|4.552|850|157.886|757668.3102034556|32574.05566822207
Generation 265|22|4.76|800|171.864|4509641.864326547|46681.42007041344
Generation 266|20|4.672|800|165.266|1304521.1356472783|38261.61595111253
Generation 267|20|5.01|900|171.748|1307474.3323027657|41488.078075048805
Generation 268|22|4.756|800|180.438|4513969.000572469|45979.063482428755
Generation 269|22|4.826|1000|182.204|4507218.849277531|57528.77041858575
Generation 270|21|4.798|800|182.298|2384161.0349818645|34107.708149092185
Generation 271|21|5.182|900|184.494|2387043.0208836286|47859.70460422631
Generation 272|21|4.44|800|171.704|2381593.4197881077|34887.84861733667
Generation 273|17|3.994|800|155.874|315338.3663763807|21209.49345269475
Generation 274|19|3.772|750|147.542|758294.5477368493|22631.533348321667
Generation 275|19|4.632|750|165.382|757747.1725072769|33550.175510874855
Generation 276|21|4.434|1000|165.054|2386028.83597657|35764.47427711891
Generation 277|20|4.062|1100|149.376|1265535.7106403667|29078.2459056242
Generation 278|21|4.054|950|165.296|2383176.4463067153|31987.594309246753
Generation 279|21|4.35|1050|159.306|2381981.087097629|37390.60825511856
Generation 280|22|4.604|900|153.524|4507637.474135968|44166.735081227984
Generation 281|20|4.83|950|163.474|1308378.127340299|40517.327599056174
Generation 282|24|4.952|1000|175.682|17154623.90126368|102233.3276534207
Generation 283|20|4.268|900|170.14|1310774.346108944|33355.19163516732
Generation 284|21|4.272|1000|166.672|2382029.372456491|30821.65468437136
Generation 285|19|4.33|950|162.676|754173.8654908375|30337.482511657632
Generation 286|20|4.524|950|163.94|1304887.742383574|33367.609247760076
Generation 287|25|5.128|900|164.15|33968906.3121551|105643.6435009564
Generation 288|22|5.252|1000|175.668|4509692.4414225|44798.556244754705
Generation 289|20|4.556|850|156.22|1305433.3104122877|30397.119108163
Generation 290|20|4.774|950|167.138|1307777.6186074866|35454.60934354073
Generation 291|25|4.28|850|166.462|33966504.01761173|115884.80749535817
Generation 292|20|4.204|900|163.87|1306861.845675203|30547.667602401983
Generation 293|22|4.716|950|181.308|4509944.696568733|57850.63742177115
Generation 294|25|4.654|950|165.716|33963714.63306906|115581.59290196512
Generation 295|19|3.864|800|155.6|760756.9733327501|24785.481970407473
Generation 296|22|4.316|950|166.362|4512790.71852476|46507.981822235684
